COMPONENT_STRING,COMPONENT_LABEL,COMPONENT_DESCRIPTION,API_SHORT_NAME,PROGRAM_STRING,PROGRAM_LABEL,FREQUENCY,FREQUENCY_NOTES,PROGRAM_DESCRIPTION
PEPCHARAGEGROUPS,"Estimates by Age Group, Sex, Race, and Hispanic Origin","PEP Estimates by Age Group, Sex, Race, and Hispanic Origin present the same multi-variable demographic breakdowns as PEPCHARAGE but use 5-year age groups rather than single-year ages, reducing file size while retaining demographic detail.",pep/charagegroups,PEP,Population Estimates,annual,Uses 5-year age groupings; annual release cadence.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPCOMPONENTS,Components of Change Estimates,"PEP Components of Change Estimates provide annual data on the four drivers of population change-births, deaths, net domestic migration, and net international migration-for the nation, states, and counties. Enables decomposition of population growth or decline by its underlying demographic components.",pep/components,PEP,Population Estimates,annual,,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPINTERCENSALHOUSING,Housing Units,"PEP Intercensal Housing Units estimates provide revised annual housing unit counts for states and counties for the intercensal period, reconciled between two decennial censuses to correct for revisions made after the initial estimate release.",pep/int_housingunits,PEP,Population Estimates,decennial,Covers the intercensal period between two decennial censuses; single release per intercensal period.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPINTERCENSALCHARAGEGROUPS,"County Estimates by 5 Year Age Groups, Race by Sex, and Hispanic Origin","PEP Intercensal County Estimates by 5-Year Age Groups, Race by Sex, and Hispanic Origin provide revised annual county-level demographic estimates for the intercensal period, reconciling forward and backward projections between two censuses.",pep/int_charagegroups,PEP,Population Estimates,periodic,Covers the intercensal period between two decennial censuses; single release per intercensal period. Uses 5-year age groupings.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPINTERCENSALNATRESAFO,United States Resident plus Armed Forces Overseas Population Estimates by Age and Sex,"PEP Intercensal United States Resident plus Armed Forces Overseas (RESAFO) Population Estimates by Age and Sex include both the domestic resident population and U.S. military and federal civilian employees stationed overseas, for intercensal years.",pep/int_natresafo,PEP,Population Estimates,annual,Covers the intercensal period between two decennial censuses; single release per intercensal period.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPINTERCENSALNATCIVPOP,United States Civilian Population Estimates by Age and Sex,"PEP Intercensal United States Civilian Population Estimates by Age and Sex exclude active-duty military from the national population total, providing a civilian-only series for intercensal years. Useful for labor force and program eligibility analyses.",pep/int_natcivpop,PEP,Population Estimates,annual,Covers the intercensal period between two decennial censuses; single release per intercensal period.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
PEPINTERCENSALNATRESPOP,United States Resident Population Estimates by Age and Sex,"PEP Intercensal United States Resident Population Estimates by Age and Sex provide revised annual national age-sex distributions for the intercensal period, reconciling estimates between two successive decennial censuses.",pep/int_natrespop,PEP,Population Estimates,decennial,Covers the intercensal period between two decennial censuses; single release per intercensal period.,"Annual intercensal estimates of population, housing units, and components of change (births, deaths, migration) for the nation, states, counties, and cities."
POPPROJBIRTHS,"Projected Births by Sex, Race, and Hispanic Origin for the United States: 2016-2060","Projected Births by Sex, Race, and Hispanic Origin extend projected birth counts through 2060, providing one of the three components of change (alongside deaths and migration) underlying the national population projections series.",popproj/births,POPPROJ,National Population Projections,projection,Single-vintage release; projections are updated irregularly when methodology or base population data are revised.,"Long-range national population projections by age, sex, race, and Hispanic origin through 2060. Used for policy planning and demographic trend analysis."
POPPROJDEATHS,"Projected Population by Single Year of Age, Sex, Race, and Hispanic Origin for the United States: 2016-2060","Projected Deaths by Sex, Race, and Hispanic Origin extend projected death counts through 2060, providing the mortality component underlying the national population projections and enabling cause-specific mortality research.",popproj/deaths,POPPROJ,National Population Projections,projection,Single-vintage release; projections are updated irregularly when methodology or base population data are revised.,"Long-range national population projections by age, sex, race, and Hispanic origin through 2060. Used for policy planning and demographic trend analysis."
POPPROJNAT,"Projected Population by Single Year of Age, Sex, Race, and Hispanic Origin, and Nativity for the United States: 2016-2060","Projected Population by Nativity (native-born vs. foreign-born), in addition to single year of age, sex, race, and Hispanic origin, through 2060. Supports analyses of immigration's contribution to future population growth.",popproj/nat,POPPROJ,National Population Projections,projection,Single-vintage release; projections are updated irregularly when methodology or base population data are revised.,"Long-range national population projections by age, sex, race, and Hispanic origin through 2060. Used for policy planning and demographic trend analysis."
POPPROJNIM,"Projected Net International Migration by Single Year of Age, Sex, Race, and Hispanic Origin for the United States: 2016-2060","Projected Net International Migration by Single Year of Age, Sex, Race, and Hispanic Origin through 2060, providing the migration component underlying national population projections. Useful for immigration policy analysis.",popproj/nim,POPPROJ,National Population Projections,projection,Single-vintage release; projections are updated irregularly when methodology or base population data are revised.,"Long-range national population projections by age, sex, race, and Hispanic origin through 2060. Used for policy planning and demographic trend analysis."
POPPROJPOP,"Projected Population by Single Year of Age, Sex, Race, and Hispanic Origin for the United States: 2016-2060","National Population Projections by Single Year of Age, Sex, Race, and Hispanic Origin project the resident U.S. population through 2060 under a set of fertility, mortality, and migration assumptions. The primary projections series from the Census Bureau's national projections program.",popproj/pop,POPPROJ,National Population Projections,projection,Single-vintage release; projections are updated irregularly when methodology or base population data are revised.,"Long-range national population projections by age, sex, race, and Hispanic origin through 2060. Used for policy planning and demographic trend analysis."
PROJAGEGROUPS,"Projected Population by Age Group, Sex, Race, and Hispanic Origin for the United States: 2016-2060","National Population Projections by Age Group, Sex, Race, and Hispanic Origin aggregate single-year projections into broader age bands (e.g., 0-4, 5-9), making the data more accessible for program planning and policy applications.",popproj/agegroups,POPPROJ,National Population Projections,projection,Single-vintage release; projections are updated irregularly when methodology or base population data are revised.,"Long-range national population projections by age, sex, race, and Hispanic origin through 2060. Used for policy planning and demographic trend analysis."
DECENNIALSF1,Summary File 1,"Decennial Census Summary File 1 (SF1) contains 100-percent data-counts collected from all households-on population and housing subjects including age, sex, race, Hispanic origin, household relationship, and housing occupancy/tenure. Available at all geographic levels down to the census block.",dec/sf1,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALCD113,113th Congressional District Summary File,"Decennial Census 113th Congressional District Summary File provides 100-percent population and housing counts (race, Hispanic origin, age, sex, housing tenure) tabulated to the boundaries of the 435 congressional districts as defined for the 113th Congress.",dec/cd113,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALCD115,115th Congressional District Summary File,Decennial Census 115th Congressional District Summary File provides 100-percent population and housing counts tabulated to the boundaries of the 435 congressional districts as defined for the 115th Congress.,dec/cd115,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALPL,Redistricting Data (PL 94-171),"Decennial Census Redistricting Data (P.L. 94-171) is the first detailed data product released after each census. Required by law within one year of Census Day, it provides race, Hispanic origin, voting-age population, housing occupancy, and group quarters counts down to the census block for use in legislative redistricting.",dec/pl,DEC,Decennial Census,quarterly,Released on a rolling quarterly basis during census year as states certify redistricting data; not a standalone survey.,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALSF3,Summary File 3,"Decennial Census Summary File 3 (SF3) contains sample (long-form) data on social, economic, and housing characteristics collected from approximately 1-in-6 households. Covers topics such as income, education, commuting, and housing costs at geography levels down to the census block group. Replaced by the ACS after 2000.",dec/sf3,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALDPAIAN,American Indian and Alaska Native Demographic Profile,"Decennial Census American Indian and Alaska Native Demographic Profile provides 100-percent population and housing counts specifically for federally recognized American Indian Areas, Alaska Native Areas, and Hawaiian Home Lands.",dec/aianprofile,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALCD116,116th Congressional District Summary File,Decennial Census 116th Congressional District Summary File provides 100-percent population and housing counts tabulated to the boundaries of the 435 congressional districts as defined for the 116th Congress.,dec/cd116,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALDPCD110H,110th Congressional District Demographic Profile (100-Percent),Decennial Census 110th Congressional District Demographic Profile (100-Percent) presents key population and housing counts from the 100-percent (short-form) census data tabulated to 110th Congress district boundaries.,dec/cd110hprofile,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALDPCD110S,110th Congressional District Demographic Profile (Sample),"Decennial Census 110th Congressional District Demographic Profile (Sample) presents social, economic, and housing estimates from the long-form sample data tabulated to 110th Congress district boundaries.",dec/cd110sprofile,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALAIAN,American Indian and Alaska Native Summary File,"Decennial Census American Indian and Alaska Native Summary File provides full 100-percent detailed cross-tabulations for the population within federally recognized tribal areas, including American Indian Areas, Alaska Native Areas, and Hawaiian Home Lands.",dec/aian,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALRR,Decennial Self-Response Rate,"Decennial Self-Response Rate dataset tracks the cumulative rate at which households responded to the census on their own (internet, phone, or mail) before enumerator follow-up, reported daily at the tract, county, state, and national levels during the collection period.",dec/responserate,DEC,Decennial Census,daily,Daily self-response rate tracking published during active census collection period only.,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALDPCD115,115th Congressional District Demographic Profile,"Decennial Census 115th Congressional District Demographic Profile provides a DP-style summary of social, economic, housing, and demographic characteristics for each congressional district under the 115th Congress boundary definitions.",dec/cd115profile,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALDPCD113,113th Congressional District Demographic Profile,"Decennial Census 113th Congressional District Demographic Profile provides a DP-style summary of social, economic, housing, and demographic characteristics for each congressional district under the 113th Congress boundary definitions.",dec/cd113profile,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALDPSLDH,State Legislative District Demographic Profile (100-Percent),Decennial Census State Legislative District Demographic Profile (100-Percent) provides key demographic and housing counts from short-form census data tabulated to upper-chamber state legislative district boundaries.,dec/sldhprofile,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALSLDH,State Legislative District Summary File (100-Percent),"Decennial Census State Legislative District Summary File (100-Percent) provides detailed cross-tabulations of 100-percent data (race, age, sex, housing tenure) for upper-chamber state legislative districts.",dec/sldh,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALCQR,Count Question Resolution,Decennial Count Question Resolution (CQR) program allows governments to challenge population or housing counts they believe are in error. This dataset contains population and housing unit counts before and after any corrections accepted through the CQR process.,dec/cqr,DEC,Decennial Census,decennial,Released post-census to resolve count discrepancies; one-time product per decennial cycle.,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALCD110H,110th Congressional District Summary File (100-Percent),Decennial Census 110th Congressional District Summary File (100-Percent) provides detailed cross-tabulations of short-form census data for each district under 110th Congress boundary definitions.,dec/cd110h,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALSF2,Summary File 2,"Decennial Census Summary File 2 (SF2) provides 100-percent population and housing counts iterated for 250 race and Hispanic origin groups, American Indian and Alaska Native tribes, and ancestry groups-enabling analysis of detailed population subgroups at geography levels down to the census tract.",dec/sf2,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALTESTING,Decennial Testing Data,"Decennial Testing Data contains experimental or dress-rehearsal census counts released for research and evaluation purposes. These data are not official census counts and are intended to test questionnaire design, processing, or geographic methods ahead of a production census.",dec/testing,DEC,Decennial Census,decennial,Collected during census test years; not a regular decennial product.,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALPES,Decennial Post Enumeration Survey,Decennial Post-Enumeration Survey (PES) is an independent survey conducted after the census to estimate net coverage error-how many people were over- or undercounted. Results inform methodological improvements and evaluate the accuracy of decennial enumeration by demographic group and geography.,dec/pes,DEC,Decennial Census,decennial,Post-Enumeration Survey conducted immediately after each decennial; one product per cycle.,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALDP,Demographic Profile,"Decennial Census Demographic Profile provides selected demographic and housing characteristics (age, sex, race, Hispanic origin, household type, housing tenure) for areas down to the census tract. The 2020 version is equivalent to the 2010 Demographic Profile and serves as a concise summary of census 100-percent data.",dec/dp,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALTESTING2,Decennial Testing Data 2,"Decennial Testing Data 2 is a secondary experimental dataset released alongside or following Decennial Testing Data, supporting further evaluation of census methodologies, disclosure avoidance approaches, or data products under development.",dec/testing2,DEC,Decennial Census,decennial,Collected during census test years; not a regular decennial product.,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALDDHCA,Detailed Demographic and Housing Characteristics File A,"Decennial Census Detailed Demographic and Housing Characteristics File A (DHC-A) provides comprehensive cross-tabulations of population and housing variables-including age, sex, race, Hispanic origin, household type, and tenure-at geography levels down to the census block. The 2020 successor to prior century's SF1/SF2 detailed tables.",dec/ddhca,DEC,Decennial Census,decennial,,Constitutionally mandated count of every U.S. resident conducted every 10 years. Authoritative source for population and housing counts used for congressional apportionment and redistricting.
DECENNIALPUMS1PCT,Public Use Microdata Sample - 1 Percent Sample,"Decennial Census Public Use Microdata Sample (1-Percent) contains individual-level person and housing unit records representing approximately 1% of the population, with all identifying information removed. Enables custom cross-tabulations of census 100-percent variables at the state and PUMA levels.",dec/pums1pct,DECENNIAL,Decennial Census of Population and Housing,decennial,,"Full decennial census of population and housing characteristics. Covers detailed demographic, social, economic, and housing topics collected from all U.S. households."
DECENNIALSF1ES,Compendio de Datos 1 (SF1),"Compendio de Datos 1 (SF1) is the Spanish-language version of the Decennial Census Summary File 1 100-percent data for Puerto Rico, providing population and housing counts by age, sex, race, and Hispanic origin down to the census block.",es/dec/sf1,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
DECENNIALAS,American Samoa Summary File,"Decennial Census American Samoa Summary File provides 100-percent population and housing counts for American Samoa, including age, sex, race, and housing tenure at all available geographic levels within the territory.",dec/as,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
DECENNIALYOEMP,Commonwealth of the Northern Mariana Islands Year of Entry File,"Decennial Census Commonwealth of the Northern Mariana Islands Year of Entry File provides population counts cross-tabulated by year of entry into the CNMI, enabling analysis of migration patterns and resident tenure within the territory.",dec/mpyoe,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
DECENNIALYOEGU,Guam Year of Entry File,"Decennial Census Guam Year of Entry File provides population counts cross-tabulated by year of entry into Guam, enabling analysis of migration patterns and length of residence within the territory.",dec/guyoe,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
DECENNIALYOEAS,American Samoa Year of Entry File,"Decennial Census American Samoa Year of Entry File provides population counts cross-tabulated by year of entry into American Samoa, supporting analysis of migration flows and length of residence within the territory.",dec/asyoe,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
DECENNIALMP,Commonwealth of the Northern Mariana Islands Summary File,Decennial Census Commonwealth of the Northern Mariana Islands (CNMI) Summary File provides 100-percent population and housing counts for CNMI at all available geographic levels within the territory.,dec/mp,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
DECENNIALGU,Guam Summary File,"Decennial Census Guam Summary File provides 100-percent population and housing counts for Guam, including age, sex, race, and housing characteristics at all available geographic levels within the territory.",dec/gu,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
DECENNIALVI,U.S. Virgin Islands Summary File,"Decennial Census U.S. Virgin Islands Summary File provides 100-percent population and housing counts for the U.S. Virgin Islands at all available geographic levels, including age, sex, race, Hispanic origin, and housing tenure.",dec/vi,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
DECENNIALCROSSTABVI,U.S. Virgin Islands Detailed Crosstabulations,Decennial Census U.S. Virgin Islands Detailed Crosstabulations provide additional multi-way cross-tabulations of population and housing characteristics for the U.S. Virgin Islands beyond those available in the standard summary file.,dec/crosstabvi,DECIA,Decennial Census of Island Areas,decennial,,"Decennial census for U.S. island territories providing population and housing counts for Puerto Rico, Guam, CNMI, American Samoa, and the U.S. Virgin Islands."
ISLANDAREAS,Economic Census of Island Areas,"Economic Census of Island Areas provides the official five-year economic measure for U.S. territories (Puerto Rico, U.S. Virgin Islands, Guam, CNMI, American Samoa), covering establishments, employment, payroll, and revenue by NAICS industry.",ecn/islandareas,ECNIA,Economic Census of Island Areas,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.","Economic census for U.S. island territories (Puerto Rico, Guam, CNMI, USVI, American Samoa). Covers employment, payroll, and revenue by industry for each territory."
ISLANDAREASCOMP,Economic Census of Island Areas,"Economic Census of Island Areas Comparative Statistics compare current census results to the prior census for U.S. territories, enabling analysis of economic change over the five-year period by NAICS industry.",ecn/islandareas/comp,ECNIA,Economic Census of Island Areas,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.","Economic census for U.S. island territories (Puerto Rico, Guam, CNMI, USVI, American Samoa). Covers employment, payroll, and revenue by industry for each territory."
ISLANDAREASIND,Economic Census of Island Areas,"Economic Census of Island Areas Industry Data provide detailed NAICS-industry tabulations of establishment, employment, payroll, and revenue for individual U.S. territories.",ecn/islandareas/ind,ECNIA,Economic Census of Island Areas,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.","Economic census for U.S. island territories (Puerto Rico, Guam, CNMI, USVI, American Samoa). Covers employment, payroll, and revenue by industry for each territory."
ISLANDAREASLINES,Economic Census of Island Areas,"Economic Census of Island Areas Lines of Business Data report sales and revenue by major product or service line for establishments in U.S. territories, organized by kind of business.",ecn/islandareas/lines,ECNIA,Economic Census of Island Areas,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.","Economic census for U.S. island territories (Puerto Rico, Guam, CNMI, USVI, American Samoa). Covers employment, payroll, and revenue by industry for each territory."
ISLANDAREASNAPCS,Economic Census of Island Areas,"Economic Census of Island Areas NAPCS Data report revenue by NAPCS product line for establishments in U.S. territories, providing product-level economic detail for territorial economies.",ecn/islandareas/napcs,ECNIA,Economic Census of Island Areas,quinquennial,"Conducted in years ending in 2 or 7, aligned with the Economic Census cycle.","Economic census for U.S. island territories (Puerto Rico, Guam, CNMI, USVI, American Samoa). Covers employment, payroll, and revenue by industry for each territory."
SIPP2008CORE,Core,"Survey of Income and Program Participation (SIPP) 2008 Panel Core data are longitudinal household interview records tracking income, program participation, employment, and family dynamics over multiple years. The 2008 panel followed households through 2013 using quarterly interviews.",sipp/core,SIPP,Survey of Income and Program Participation,quarterly,"Quarterly core interviews from the 2008 SIPP panel; panel-based design means data represent a fixed cohort followed over time, not a recurring cross-sectional sample.","Longitudinal panel survey tracking income, program participation, employment, and family dynamics for U.S. households over multiple years. Key source for poverty and benefit eligibility analysis."
PDBTRACT,Planning Database Tract Level,"Planning Database (PDB) Tract-Level file compiles ACS 5-year estimates alongside Census Bureau operational data (mail return rates, use of administrative records) at the census tract level. Designed to help survey planners identify hard-to-survey populations and target resources.",pdb/tract,PDB,Census Planning Database,annual,Updated annually following each new ACS 5-year release; not independently fielded.,Tract- and county-level planning database combining Census operational data with ACS estimates. Used to identify hard-to-count populations and plan census outreach.
PDBBLOCKGROUP,Planning Database Block Group Level,Planning Database (PDB) Block Group-Level file provides ACS 5-year estimates and operational indicators at the census block group level-the most granular geography available in the PDB-for local-area hard-to-survey population analysis.,pdb/blockgroup,PDB,Census Planning Database,annual,Updated annually following each new ACS 5-year release; not independently fielded.,Tract- and county-level planning database combining Census operational data with ACS estimates. Used to identify hard-to-count populations and plan census outreach.
PDBSTATECOUNTY,Planning Database - State and County Level,"Planning Database (PDB) State and County-Level file aggregates ACS 5-year socioeconomic estimates and census operational metrics to the county and state level, enabling state-wide and county-wide analyses of survey participation barriers.",pdb/statecounty,PDB,Census Planning Database,annual,Updated annually following each new ACS 5-year release; not independently fielded.,Tract- and county-level planning database combining Census operational data with ACS estimates. Used to identify hard-to-count populations and plan census outreach.
SAHIE,Small Area Health Insurance Estimates,"Small Area Health Insurance Estimates (SAHIE) provide annually updated estimates of health insurance coverage status for all counties and states, modeled using CPS, Medicaid/CHIP enrollment, tax, and census data. The primary source for sub-state uninsurance rates.",timeseries/healthins/sahie,SAHIE,Small Area Health Insurance Estimates,annual,,Annual model-based estimates of health insurance coverage by demographic subgroup for all U.S. counties and states. Used for public health planning and program eligibility.
SAIPESCHOOLDISTRICTS,Small Area Income and Poverty Estimates: School Districts,SAIPE School District Poverty Estimates provide annually updated counts and rates of children aged 5-17 in poverty for all U.S. school districts. Required by the Elementary and Secondary Education Act to allocate Title I education funding.,timeseries/poverty/saipe/schdist,SAIPE,Small Area Income and Poverty Estimates,annual,,Annual model-based estimates of income and poverty for all U.S. counties and school districts. Used to allocate federal education funding under Title I.
SAIPESTATECOUNTY,Small Area Income and Poverty Estimates: State and County,"Small Area Income and Poverty Estimates (SAIPE) State and County file provides annually updated estimates of median household income and poverty rates for every U.S. county, state, and the nation. SAIPE combines CPS, tax, and administrative data to produce more current estimates than ACS for smaller areas.",poverty/saipe,SAIPE,Small Area Income and Poverty Estimates,annual,,Annual model-based estimates of income and poverty for all U.S. counties and school districts. Used to allocate federal education funding under Title I.
PSEOFLOWS,Post-Secondary Employment Outcomes (PSEO) - Flows,Post-Secondary Employment Outcomes (PSEO) Flows data measure the geographic mobility of graduates-tracking where they work relative to where they attended school-providing industry and state-level employment flows for postsecondary completers.,timeseries/pseo/flows,PSEO,Post-Secondary Employment Outcomes (PSEO),annual,Experimental data product; coverage expands as new institutional data-sharing agreements are added. Annual releases.,"Earnings and employment outcomes for college graduates linked to unemployment insurance records. Covers outcomes by institution, degree level, and field of study."
PSEOEARNINGS,Post-Secondary Employment Outcomes (PSEO) - Earnings,"Post-Secondary Employment Outcomes (PSEO) Earnings data link postsecondary transcripts to longitudinal employment records to measure earnings outcomes by institution, field of study, degree level, and graduate cohort year.",timeseries/pseo/earnings,PSEO,Post-Secondary Employment Outcomes (PSEO),annual,Experimental data product; coverage expands as new institutional data-sharing agreements are added. Annual releases.,"Earnings and employment outcomes for college graduates linked to unemployment insurance records. Covers outcomes by institution, degree level, and field of study."
FTD14IMPEXPHIST,Historical Imports and Exports,"Historical Imports and Exports (FTD) provide long time-series of U.S. merchandise trade by commodity and country partner, compiled from historical trade statistics reports. Useful for trend analysis of U.S. trade patterns over multiple decades.",intltrade/imp_exp,IT,International Trade,annual,Annual compilation of historical import/export data; not an independently fielded survey.,"Monthly and annual statistics on U.S. imports and exports by commodity, country, port, and mode of transport. The official source for U.S. international trade data."
SUSB,Statistics of U.S. Businesses,"Statistics of U.S. Businesses (SUSB) provide establishment-level tabulations of employment and payroll by NAICS industry, enterprise employment size class, and geography (national, state, metro, county). Widely used for analyzing the size distribution of employer businesses.",ecnsusb,SUB,Statistics of U.S. Businesses,annual,,"Annual statistics on the number of businesses, employment, and payroll by industry, geography, and firm size. Covers both employer and nonemployer businesses."
EITSADVM3,Economic Indicators Advanced M3,"Advance Monthly Survey of Manufacturers' Shipments, Inventories and Orders (M3/ADV-M3) provides early-release monthly data on shipments, new orders, unfilled orders, and inventories for durable and nondurable goods manufacturers. A leading economic indicator for manufacturing sector activity.",timeseries/eitsadvm3,EITS,Economic Indicators,monthly,,"Monthly and quarterly economic indicator releases covering construction, manufacturing, retail trade, and wholesale trade. Used for real-time tracking of U.S. economic activity."
IDBSINGLEYEAR,Time Series International Database: International Populations by Single Year of Age and Sex,"International Database (IDB) Single-Year Age and Sex data provide annual population estimates and projections for all countries and territories through 2050, broken down by single year of age and sex. Used for global demographic research and international program planning.",timeseries/idb/1year,IDB,International Database,annual,Updated periodically as new country-level data become available; release schedule is irregular.,"Demographic and socioeconomic estimates and projections for countries and regions worldwide. Covers population, age structure, fertility, mortality, and migration."
IDB5YR,Time Series International Database: International Populations by Single Year of Age and Sex,"International Database (IDB) 5-Year Age Group data aggregate IDB single-year estimates into standard 5-year age bands, providing a more manageable format for global comparative demographic analysis.",timeseries/idb/5year,IDB,International Database,periodic,Uses 5-year age groupings but is not collected on a quinquennial schedule; updated periodically as country-level data become available.,"Demographic and socioeconomic estimates and projections for countries and regions worldwide. Covers population, age structure, fertility, mortality, and migration."
HHPULSE,High Frequency Social and Economic Data,"Household Pulse Survey (HPS) is an experimental high-frequency online survey measuring how the COVID-19 pandemic and its aftermath affected households across social and economic dimensions-employment, food sufficiency, housing stability, mental health, and access to health care. Released weekly or biweekly in rotating phases.",timeseries/hhpulse,HPS,Household Pulse Survey,weekly,Deployed rapidly in response to emergent crises; collection cadence and active phases vary. Original phase launched March 2020 in response to COVID-19.,"Rapid-turnaround online survey measuring household experiences during and after national emergencies, including employment, housing stability, food security, and mental health."
GEOINFO,Geography Information,"Geographic Information (GEOINFO) provides reference data on Census geographic units-including FIPS codes, names, geographic types, and vintage information-for all summary levels used across Census Bureau data products. Used to look up and validate geography identifiers for API queries.",geoinfo,GEO,Geography,annual,Updated annually to reflect geographies disseminated across all active Census programs that calendar year; not an independently fielded survey.,"Reference data for all Census Bureau geographic entities including summary levels, FIPS codes, names, and vintage information. Used to look up and validate geography identifiers for API queries."
